11.46 	179.00 	16	225	0.723	244	138	104	9.9
11.45 	174.00 	15	236	0.695	108	75	48	7.6
4.27 	245.00 	57	217	0.671	153	103	59	16.6
3.51 	205.00 	58	188	0.534	122	92	58	32
7.41 	756.00 	102	326	0.532	140	91	77	22.4
5.03 	309.00 	61	358	0.588	197	118	79	29.2
5.45 	485.00 	89	325	0.571	194	129	78	33.6
4.04 	927.00 	229	404	0.595	146	109	64	56
11.35 	433.00 	38	439	0.736	312	158	84	90.2
9.51 	722.00 	76	410	0.605	237	143	98	83.7
8.32 	324.00 	39	347	0.587	280	148	119	26.9
3.91 	471.00 	121	280	0.528	203	133	87	94
7.36 	488.00 	66	553	0.537	300	164	120	59.5
4.00 	534.00 	134	551	0.496	234	164	97	81.6
6.77 	216.00 	32	173	0.634	110	76	72	11.5
4.21 	239.00 	57	166	0.604	158	121	67	29.9
5.49 	479.00 	87	320	0.505	352	163	94	74.6
4.58 	484.00 	106	513	0.505	247	154	94	79.6
7.23 	395.00 	55	748	0.487	299	191	135	34.2
3.77 	601.00 	159	840	0.477	330	193	127	73.7
4.41 	490.00 	111	990	0.565	352	196	110	65.5
5.76 	254.00 	44	332	0.484	238	165	87	50.9
3.96 	323.00 	82	394	0.461	241	162	91	48.3
3.30 	282.00 	85	389	0.458	221	116	65	69.7
3.12 	315.00 	101	377	0.46	176	123	76	52.7
3.48 	941.00 	271	587	0.426	573	212	53	164.3
5.03 	238.00 	47	287	0.56	148	107	81	18.3
2.74 	453.00 	165	487	0.547	148	76	39	64.5
4.34 	445.00 	103	565	0.492	190	101	63	28.4
4.67 	961.00 	206	688	0.511	138	86	28	42.1
4.01 	2358.00 	588	608	0.535	233	159	89	44.4
